Company	Product	APS	Specification
Ocean NanoTech	Iron oxide nanoparticles	15nm	in cloroform
Ocean NanoTech	Iron oxide nanoparticles	15nm	nanocrystals with free surfactant in water
Ocean NanoTech	Iron oxide nanoparticles	15nm	nanocrystals in water purified for bioconjugation
SkySpring Nanomaterials, Inc.	Iron oxide nanoparticles	20-30nm	P(>98%)
SkySpring Nanomaterials, Inc.	Iron oxide nanoparticles	20-40nm	P(99%) alpha
SkySpring Nanomaterials, Inc.	Iron oxide nanoparticles	20-40nm	P(99%) gamma
Ocean NanoTech	Iron oxide nanoparticles	20nm	in cloroform
Ocean NanoTech	Iron oxide nanoparticles	20nm	nanocrystals with free surfactant in water
Ocean NanoTech	Iron oxide nanoparticles	20nm	nanocrystals in water purified for bioconjugation
Ocean NanoTech	Iron oxide nanoparticles	25nm	in cloroform
Ocean NanoTech	Iron oxide nanoparticles	25nm	nanocrystals with free surfactant in water
Ocean NanoTech	Iron oxide nanoparticles	25nm	nanocrystals in water purified for bioconjugation
Nanophase Technologies Corporation	Iron oxide nanoparticles	30nm	P(>99) gamma, near spherical
Ocean NanoTech	Iron oxide nanoparticles	30nm	in cloroform
Ocean NanoTech	Iron oxide nanoparticles	30nm	nanocrystals with free surfactant in water
Ocean NanoTech	Iron oxide nanoparticles	30nm	nanocrystals in water purified for bioconjugation
Marketech International	Iron oxide nanoparticles	35nm	gamma
Ocean NanoTech	Iron oxide nanoparticles	40nm	in cloroform
Ocean NanoTech	Iron oxide nanoparticles	40nm	nanocrystals with free surfactant in water
Ocean NanoTech	Iron oxide nanoparticles	40nm	nanocrystals in water purified for bioconjugation
CAN GmbH	Iron oxide nanoparticles	5-25nm	Toluene or water
Ocean NanoTech	Iron oxide nanoparticles	50nm	in cloroform
Ocean NanoTech	Iron oxide nanoparticles	50nm	nanocrystals with free surfactant in water
Ocean NanoTech	Iron oxide nanoparticles	50nm	nanocrystals in water purified for bioconjugation
Ocean NanoTech	Iron oxide nanoparticles	5nm	in cloroform
Ocean NanoTech	Iron oxide nanoparticles	5nm	nanocrystals with free surfactant in water
Ocean NanoTech	Iron oxide nanoparticles	5nm	nanocrystals in water purified for bioconjugation
HIQ-NANO srl	Iron Oxide Nanoparticles	From 6 nm to 20 nm	Dispersed in anhydrous chloroform or in water
HIQ-NANO srl	Magnetic Nanoparticles	From 6 nm to 20 nm	Dispersed in anhydrous chloroform or in water
Mach 1 Inc.	Titanium oxide nanoparticles	47nm	P(95)
Sukgyung AT Co., Ltd.	Lanthanum oxide nanoparticles	100-140nm	white sol; solvent water
SkySpring Nanomaterials, Inc.	Lanthanum oxide nanoparticles	100nm	P(99.99%)
IoLiTec	Lanthanum oxide nanoparticles	15-30nm	P(99.99)
EPRUI Nanoparticles & Microspheres Co. Ltd	Lanthanum oxide nanoparticles	50nm	P(99.5%)
Inframat Advanced Materials LLC	Lanthanum oxide nanoparticles	80nm	P(99.995) C(TEM)
Sisco Research Laboratories Pvt. Ltd.	Lanthanum oxide nanoparticles	90nm	P(>99.99%)
Adnano technologies pvt. ltd	Magnesium Oxide Nanoparticles	~20-50 nm	Magnesium oxide nano particles are odorless and non-toxic. They possess high hardness, high purity and a high melting point. Magnesium oxide nanoparticles appear in a white powder form
IoLiTec	Magnesium oxide nanoparticles	10-30nm	P(99.9) + Stearic Acid
SkySpring Nanomaterials, Inc.	Magnesium oxide nanoparticles	10-30nm	P(99.9%)
SkySpring Nanomaterials, Inc.	Magnesium oxide nanoparticles	10-30nm	P(99.9%) treated with Stearic Acid
SkySpring Nanomaterials, Inc.	Magnesium oxide nanoparticles	10-30nm	P(99.9%) treated with Titanium Ester
SkySpring Nanomaterials, Inc.	Magnesium oxide nanoparticles	10-30nm	P(99.9%) treated with Titanate Coupler
EPRUI Nanoparticles & Microspheres Co. Ltd	Magnesium oxide nanoparticles	20nm	(P>99); white
SkySpring Nanomaterials, Inc.	Magnesium oxide nanoparticles	20nm	P(99%)
Inframat Advanced Materials LLC	Magnesium oxide nanoparticles	35nm	P(99+)
IoLiTec	Magnesium oxide nanoparticles	35nm	P(99.5)
Sukgyung AT Co., Ltd.	Magnesium oxide nanoparticles	<100nm	(P>99.9)
Sisco Research Laboratories Pvt. Ltd.	Manganese oxide nanoparticles	50nm	(P>99%)
EPRUI Nanoparticles & Microspheres Co. Ltd	Molybdenum disulfide nanoparticles	40nm	P(99.5%); sphere
MKnano	Molybdenum disulfide nanoparticles	50nm	P(99%)
HIQ-NANO srl	Fluorescent Nanobeads	From 25 to 150 nm	Stable in organic solvents , aqueous solution and biological media
HIQ-NANO srl	STED Fluorescent Nanobeads	From 25 to 150 nm	Stable in organic solvents, aqueous solution and biological media
HIQ-NANO srl	Ultra-Small Silica Nanoparticles	4 nm	N/A
IoLiTec	Neodymium (III) oxide nanoparticles	80nm	P(99.9)
EPRUI Nanoparticles & Microspheres Co. Ltd	Neodymium oxide nanoparticles	30-50nm	P(99.9%); light purple or blue; nearly spherical
Inframat Advanced Materials LLC	Neodymium oxide nanoparticles	80nm	P(99.9), C(TEM)
IoLiTec	Nickel (II) oxide nanoparticles	20nm	P(99.5)
EPRUI Nanoparticles & Microspheres Co. Ltd	Nickel oxide nanoparticles	20nm	P(99.5%); dark green; spherical
Inframat Advanced Materials LLC	Nickel oxide nanoparticles	20nm	P(99.9)
IoLiTec	Nickel oxide nanoparticles	<100nm	
SkySpring Nanomaterials, Inc.	Nickel oxide nanoparticles	<100nm	P(77.5-78.8%)
