Company,Material,Thickness,Specification
Graphene Laboratories,Graphene flakes,0.35nm (1 monolayer),in solution (ethanol)
Graphene Square,Graphene flakes,>60% single-layer,Graphene oxide in aqueous dispersion
Graphenea,Graphene flakes,monolayer,"Graphene oxide, water dispersion"
Graphenea,Graphene flakes,monolayer,Reduced graphene oxide
Graphenetech,Graphene flakes,approx. 6 layers,Graphene nanoplatelet powder
IoLiTec,Graphene flakes,"1-10 layers, 0.6-3.8 nm",
IoLiTec,Graphene flakes,multilayer ∼ 2nm,
IoLiTec,Graphene flakes,multilayer 6-8 nm,
IoLiTec,Graphene flakes,multilayer 11-15 nm,
KNano,Graphene flakes,5-15nm,Multi-layered graphene sheets having a platelet morphology
KNano,Graphene flakes,<5nm,Mostly single-layer sheets
KNano,Graphene flakes,<100nm,Tailor-made stacks of multi-layered graphene sheets
NanoInnova Technologies,Graphene flakes,multilayer,Graphene nanoplatelets
NanoInnova Technologies,Graphene flakes,monolayer,Graphene oxide monolayer powder
NanoInnova Technologies,Graphene flakes,,Reduced graphene oxide powder
NanoIntegris Technologies,Graphene flakes,"multilayer (27% single, 48% double)",Research grade graphene nanplatelets in solution (aqueous w/surfactant)
NanoIntegris Technologies,Graphene flakes,"multilayer (6% single, 23% double)",Industrial grade graphene nanplatelets in solution (aqueous w/surfactant)
Qingdao Huagao Energy Technology,Graphene flakes,1-3 layers,Graphene powder
"SkySpring Nanomaterials, Inc.",Graphene flakes,6-8nm,Platelet nanopowder
"SkySpring Nanomaterials, Inc.",Graphene flakes,11-15nm,Platelet nanopowder
Stanford Advanced Materials,Graphene flakes,1-8 layers,Multilayer flakes
Stanford Advanced Materials,Graphene flakes,0.7-1.2 nm,Graphene oxide multilayer
Stanford Advanced Materials,Graphene flakes,,Multilayer flakes
Stanford Advanced Materials,Graphene flakes,1-8 layers,"Graphene oxide multilayer, water dispersion"
Suzhou Graphene Nanotechnology,Graphene flakes,1-2 layers,Graphene oxide powder
Suzhou Graphene Nanotechnology,Graphene flakes,2 nm,Few-layer graphene powder
Suzhou Graphene Nanotechnology,Graphene flakes,5 nm,Few-layer graphene powder
XFNANO,Graphene flakes,monolayer,Monolayer graphene oxide
"XG Sciences, Inc.",Graphene flakes,∼6nm,"Grade M has a typical surface area of 120 to 150 m2/g and is available with average particle diameters of 5, 15 or 25 microns"
"XG Sciences, Inc.",Graphene flakes,~15nm,"Grade H has a typical surface area of 50 to 80 m2/g and is available with average particle diameters of 5, 15 or 25 microns."
"XG Sciences, Inc.",Graphene flakes,2 nm,"Grade C average surface areas are 300, 500 and 750 m2/g"
